480,483,36,872,Paul Simon,You Can Call Me Al
480,452,37,3622,The Police,Message in a Bottle
356,363,40,797,Vance Joy,Riptide
356,363,40,2047,Vance Joy,Riptide
356,363,40,2898,Vance Joy,Riptide
201,213,45,3740,Pinkfong,Baby Shark
201,213,45,4369,Pinkfong,Baby Shark
201,213,45,4459,Pinkfong,Baby Shark
263,273,43,3675,Pinkfong,Baby Shark
263,273,43,4259,Pinkfong,Baby Shark
